ID,roi_c_min,roi_c_max,roi_r_min,roi_r_max,roi_length
1000215,71,144,24,97,46
1000336,68,151,20,103,52
1000363,66,160,28,122,59
1000380,60,145,29,114,54
1000407,64,147,35,118,52
1000590,64,154,25,115,57
1000739,67,150,18,101,52
1000892,87,160,64,137,46
1001629,64,147,24,107,52
1001664,65,165,14,114,63
1001688,65,145,35,115,51
1002171,63,157,21,115,59
1002272,69,159,10,100,57
1002479,66,151,24,109,54
1002700,66,144,41,119,49
1002769,74,141,39,106,42
1002957,72,152,38,118,51
1003016,61,160,25,124,62
1003065,63,146,21,104,52
1003082,69,152,32,115,52
1003107,64,144,41,121,51
1003178,69,157,16,104,55
1003284,60,148,35,123,55
1003387,67,152,49,134,54
1003417,60,143,48,131,52
1003500,66,154,20,108,55
1003569,64,154,24,114,57
1003639,61,155,21,115,59
1003773,73,151,39,117,49
1003814,48,149,26,127,64
1004000,65,148,40,123,52
1004258,68,141,36,109,46
1004364,77,146,38,107,44
1004565,63,151,35,123,55
1004754,66,149,25,108,52
1004883,69,159,19,109,57
1004985,63,153,25,115,57
1005001,58,152,17,111,59
1005275,69,153,28,112,53
1005343,63,159,36,132,61
1005468,74,154,57,137,51
1005584,69,154,26,111,54
1005726,69,170,24,125,64
1005742,66,144,22,100,49
1005962,61,145,44,128,53
1005995,69,149,24,104,51
1006232,42,152,36,146,69
1006441,65,156,14,105,58
1006459,56,146,39,129,57
1006652,67,145,45,123,49
1006817,64,154,35,125,57
1006822,71,151,5,85,51
1006880,71,138,57,124,42
1006891,73,151,41,119,49
1006929,64,144,22,102,51
1007167,63,146,32,115,52
1007240,69,148,28,107,50
1007413,65,150,31,116,54
1007469,70,139,22,91,44
1007829,74,148,35,109,47
1007980,68,156,30,118,55
1008003,69,153,31,115,53
1008149,57,147,26,116,57
1008207,69,148,31,110,50
1008340,61,150,30,119,56
1008368,70,143,22,95,46
1008687,67,145,32,110,49
1008758,67,141,55,129,47
1008897,69,148,19,98,50
1008979,69,149,30,110,51
1009148,74,148,55,129,47
1009279,71,143,54,126,45
1009428,56,155,24,123,62
1009472,63,146,22,105,52
1009558,81,180,53,152,62
1009580,96,174,35,113,49
1009885,69,142,46,119,46
1009942,64,154,29,119,57
1010239,55,145,26,116,57
1010271,70,164,20,114,59
1010475,69,159,12,102,57
1010743,64,143,26,105,50
1010779,67,146,39,118,50
1010798,76,144,58,126,43
1010945,66,151,18,103,54
1011043,66,154,31,119,55
1011051,56,152,18,114,61
1011126,72,141,24,93,44
1011161,54,150,34,130,61
1011199,71,139,27,95,43
1011270,61,162,10,111,64
1011301,64,147,41,124,52
1011325,72,156,13,97,53
1011597,66,149,8,91,52
1011702,66,146,44,124,51
1011747,58,136,35,113,49
1011886,64,147,31,114,52
1011944,69,153,18,102,53
1012366,69,149,29,109,51
1012459,76,154,13,91,49
1012506,42,163,19,140,76
1012527,67,163,9,105,61
1012568,56,140,36,120,53
1012669,51,157,20,126,67
1012863,74,146,44,116,45
1012929,61,141,33,113,51
1012931,68,152,24,108,53
1013023,69,148,21,100,50
1013202,63,151,30,118,55
1013229,67,152,36,121,54
1013345,71,143,29,101,45
1013380,66,146,21,101,51
1013455,69,159,29,119,57
1013954,61,157,29,125,61
1013960,64,154,21,111,57
1014072,63,148,43,128,54
1014105,68,142,31,105,47
1014242,55,154,27,126,62
1014339,66,151,17,102,54
1014693,70,149,46,125,50
1014780,64,148,34,118,53
1014979,60,160,28,128,63
1015529,72,151,22,101,50
1015887,67,152,43,128,54
1016418,68,147,30,109,50
1016433,63,135,53,125,45
1016520,63,157,31,125,59
1016878,69,149,44,124,51
1016912,68,156,23,111,55
1017220,63,162,13,112,62
1017346,69,149,34,114,51
1017381,64,144,34,114,51
1017397,63,148,35,120,54
1017591,92,187,18,113,60
1017759,67,156,13,102,56
1017910,47,148,25,126,64
1017942,68,146,18,96,49
1018048,69,152,33,116,52
1018224,68,152,27,111,53
1018269,54,158,30,134,65
1018297,66,156,25,115,57
1018320,72,155,7,90,52
1018427,66,151,25,110,54
1018674,71,144,25,98,46
1018734,63,151,40,128,55
1018742,69,149,41,121,51
1018811,62,146,38,122,53
1018941,69,153,22,106,53
1019214,70,144,41,115,47
1019561,53,160,18,125,68
1019696,69,149,42,122,51
1019804,67,146,20,99,50
1019816,69,157,26,114,55
1019898,74,154,34,114,51
